"","Assumptions governing approaches to diagnosis and treatment."," ","","","","1989-02-11T00:00:00Z","","2762858"
"","[Occupational medicine in Switzerland]."," ","","","","1979-10-10T00:00:00Z","","532358"
"","Emergency room practice among family physicians."," ","","","","1985-11-01T00:00:00Z","","4057228"
"","Iatrogenic illness."," ","","","","1989-11-02T00:00:00Z","","2690464"
"","Malaria."," ","","","","","","4573751"
"","Sickle cell disease."," ","","","","1973-04-01T00:00:00Z","","4692177"
"","General internal medicine in internal medicine: at the core or on the periphery?"," ","","","","1992-06-15T00:00:00Z","","1586116"
"","Arthritis caused by viruses."," ","","","","1973-09-23T00:00:00Z","","4733268"
"","Clozapine--a new and different neuroleptic."," ","","","","1990-07-17T00:00:00Z","","2389576"
"","Resolution of pulmonary edema. New insights."," ","","","","1991-03-16T00:00:00Z","","2028590"
"","Essential hypertension--where are we going?"," ","","","","1990-10-15T00:00:00Z","","2244377"
"","U.S. Marxist scholarship in the analysis of health and medicine."," ","","","","1985-09-05T00:00:00Z","","4077351"
"","Academic emergency medicine: a national profile with and without emergency medicine residency progra"," ","","","","1992-08-15T00:00:00Z","","1497162"
"","Human obesity. Exploding the myths."," ","","","","1990-10-15T00:00:00Z","","2244378"
"","A practical approach to acid-base disorders."," ","","","","1991-08-28T00:00:00Z","","1843849"
"","Non-A, non-B hepatitis."," ","","","","1990-08-24T00:00:00Z","","2120853"
"","Black contributions to the early history of Western medicine: lack of recognition as a cause of blac"," ","","","","1979-02-05T00:00:00Z","","423296"
"","The effect of a primary-care pathway on internal medicine residents' career plans."," ","","","","1979-08-05T00:00:00Z","","464468"
"","[Development and status of intensive care medicine in internal medicine at the Karl Marx University "," ","","","","1989-01-15T00:00:00Z","","2705327"
"","Does performance on the NBME Part II Medicine Examination when used as a clerkship examination refle"," ","","","","1991-05-01T00:00:00Z","","2023022"
"","Common causes of cardiac emboli--left ventricular thrombi and atrial fibrillation."," ","","","","1989-08-15T00:00:00Z","","2672600"
"","Primary care internal medicine: a challenging career choice for the 1990s."," ","","","","1990-03-01T00:00:00Z","","2306065"
"","Acute renal failure. Lessons from pathophysiology."," ","","","","1992-02-10T00:00:00Z","","1536068"
"","The nephritis of systemic lupus erythematosus."," ","","","","1972-11-15T00:00:00Z","","4638403"
"","N-of-1 clinical trials. A technique for improving medical therapeutics."," ","","","","1990-01-17T00:00:00Z","","2309473"
"","[Internal medicine--status and perspectives]."," ","","","","1989-12-01T00:00:00Z","","2698004"
"","A cross-sectional analysis of family medicine publications in the indexed medical literature."," ","","","","1992-02-20T00:00:00Z","","1601242"
"","Roles of various organizations in internal medicine curriculum reform."," ","","","","1992-06-15T00:00:00Z","","1586129"
"","Renal tubular acidosis."," ","","","","1972-05-18T00:00:00Z","","4639842"
"","Who's using medicines?"," ","","","","1975-11-16T00:00:00Z","","1228207"
"","The potential of medicine as a resource for philosophy."," ","","","","1991-03-06T00:00:00Z","","1853301"
"","[Do we need an alternative medicine?]."," ","","","","1992-02-01T00:00:00Z","","1551630"
"","Immunological mechanisms of glomerulonephritis."," ","","","","1972-01-29T00:00:00Z","","4550381"
"","[Concept and scope of internal medicine]."," ","","","","1989-09-28T00:00:00Z","","2519475"
"","A characterization of emergency medicine."," ","","","","1979-04-10T00:00:00Z","","430941"
"","Upper gastrointestinal tract hemorrhage."," ","","","","1991-09-30T00:00:00Z","","1949775"
"","The Prader-Willi syndrome."," ","","","","1970-01-15T00:00:00Z","","4391445"
"","Macroglobulinemia."," ","","","","1968-02-21T00:00:00Z","","4966484"
"","[The present state and role of internal medicine in Slovakia]."," ","","","","1989-11-29T00:00:00Z","","2598065"
"","Medical Critique [Krytyka Lekarska]: a journal of medicine and philosophy-1897-1907."," ","","","","1990-12-08T00:00:00Z","","2290076"
"","National Study of Internal Medicine Manpower. XIV: Patterns of residency and fellowship over time, 1"," ","","","","1989-10-07T00:00:00Z","","2490150"
"","Current issues concerning the epidemiology of acquired immunodeficiency syndrome and human immunodef"," ","","","","1992-01-01T00:00:00Z","","1734599"
"","[Belief in magic and magical medicine. Characteristics of its origin and consolidation in folk medic"," ","","","","1991-09-18T00:00:00Z","","1954858"
"","[Clinical medicine versus homeopathy]."," ","","","","1992-05-07T00:00:00Z","","1603601"
"","Current status of renal homotransplantation."," ","","","","1967-08-22T00:00:00Z","","4862065"
"","Medical staff conference. Herpes simplex meningoencephalitis."," ","","","","1967-11-22T00:00:00Z","","4295666"
"","Medical student interest in combined internal medicine-pediatrics."," ","","","","1990-05-01T00:00:00Z","","2341922"
"","Characteristics of medical schools related to the choice of family medicine as a specialty."," ","","","","1989-10-05T00:00:00Z","","2789605"
"","The place of rehabilitation in geriatric medicine; an overview."," ","","","","1985-12-27T00:00:00Z","","2933351"
"","Cardiac ischemia. Part II--Reperfusion and treatment."," ","","","","1987-07-06T00:00:00Z","","2962369"
"","Legal aspects of laboratory medicine."," ","","","","1989-12-01T00:00:00Z","","2591164"
"","The procedural and interpretive skills that third-year medicine clerks should master: views of medic"," ","","","","1991-09-01T00:00:00Z","","1744766"
"","Scientific advance in acupuncture."," ","","","","1979-03-15T00:00:00Z","","217263"
"","[A basic course in pulmonary diseases as part of specialist training in internal medicine]."," ","","","","1990-06-20T00:00:00Z","","2368070"
"","Lack of recognition of internal medicine as a specialty: a factor in medical student career choice?"," ","","","","1989-04-14T00:00:00Z","","2705066"
"","[The occupational medicine graduate training system in the field of occupational medicine]."," ","","","","1991-11-21T00:00:00Z","","1808455"
"","Surveying graduates of combined internal medicine-pediatrics residency programs."," ","","","","1990-04-15T00:00:00Z","","2334509"
"","Resident management of emergency department patients: is closer attending supervision needed?"," ","","","","1992-06-01T00:00:00Z","","1590624"
"","[Model of a course of psychosomatic medicine and psychotherapy]."," ","","","","1976-04-26T00:00:00Z","","961092"
"","What is a specialist? The role of board certification in occupational medicine."," ","","","","1992-10-20T00:00:00Z","","1425503"
"","[The training of the internist]."," ","","","","1990-05-11T00:00:00Z","","2293280"
"","Establishing the moral basis of medicine: Edmund D. Pellegrino's philosophy of medicine."," ","","","","1990-06-15T00:00:00Z","","2203865"
"","[Laboratory medicine in the area of interest between medicine and science]."," ","","","","1991-12-14T00:00:00Z","","1759144"
"","Accident and emergency medicine: content and training."," ","","","","1991-06-15T00:00:00Z","","2070165"
"","Voices from family medicine: Lynn Carmichael. Interview by William B. Ventres and John J. Frey."," ","","","","1992-01-16T00:00:00Z","","1544534"
"","Bridging the gaps between departments on community and family medicine: the Calgary experience."," ","","","","1976-06-22T00:00:00Z","","1002863"
"","Does the philosophy of medicine exist?"," ","","","","1992-03-05T00:00:00Z","","1604434"
"","Use of traditional Indian medicine among urban native Americans."," ","","","","1975-11-30T00:00:00Z","","1195900"
"","Objectives to direct the training of emergency medicine residents on off-service rotations: pulmonar"," ","","","","1992-07-01T00:00:00Z","","1629601"
"","Physicians and alternative medicine--an investigation of attitudes and practice."," ","","","","1992-03-02T00:00:00Z","","1585143"
"","[Over-the-counter availability of potent ulcer drugs. Study of changes in the drug use pattern and t"," ","","","","1991-05-13T00:00:00Z","","1674180"
"","Preventive medicine residents: a national survey."," ","","","","1991-10-26T00:00:00Z","","1790056"
"","The accelerated internal medicine program at the University of Kentucky."," ","","","","1992-06-15T00:00:00Z","","1586122"
"","[Tissot and the concept of scientific medicine of the 18th century]."," ","","","","1989-11-01T00:00:00Z","","2696666"
"","Training specialists in community medicine in Norway."," ","","","","1989-06-08T00:00:00Z","","2587858"
"","Is there a discipline of community medicine?"," ","","","","1976-06-15T00:00:00Z","","937353"
"","Validating audiovisual reviews as a strategy for teaching behavioral medicine to primary care reside"," ","","","","1990-03-15T00:00:00Z","","1693255"
"","Impact of an ambulatory care clerkship on the attitudes of students from five classes (1985-1989) to"," ","","","","1991-10-16T00:00:00Z","","1910407"
"","National Study of Internal Medicine Manpower: I. Residency Training 1976-1977."," ","","","","1978-03-01T00:00:00Z","","629504"
"","[The National Museum of Medicine. III. The parliamentary period (1891-1925)]."," ","","","","1989-11-16T00:00:00Z","","2519813"
"","The future of general internal medicine. Council on Long Range Planning and Development in Cooperati"," ","","","","1989-10-20T00:00:00Z","","2795784"
"","The impact of the Chinese medical model on Japan or, how the younger brother comes of age."," ","","","","1985-10-20T00:00:00Z","","4071128"
"","Interfacing professional training in health maintenance and preventive medicine."," ","","","","1979-07-15T00:00:00Z","","500446"
"","Minorities in medicine: past, present, and future."," ","","","","1990-11-14T00:00:00Z","","2102089"
"","A travelers' clinic in an academic setting."," ","","","","1989-09-21T00:00:00Z","","2588578"
"","[Use of human body parts in the preparation of "protective medicine" in Lesotho. Parallels between A"," ","","","","1989-10-15T00:00:00Z","","2818466"
"","A longitudinal description of patterns of certification in internal medicine and the subspecialties."," ","","","","1991-11-15T00:00:00Z","","1765872"
"","Medicine as business and profession."," ","","","","1990-12-05T00:00:00Z","","2291225"
"","Objectives to direct the training of emergency medicine residents on off-service rotation: otolaryng"," ","","","","1991-04-22T00:00:00Z","","2045654"
"","Lidocaine injection of auricular points in the treatment of insomnia."," ","","","","1977-02-28T00:00:00Z","","848457"
"","[Observations on Roman medicine]."," ","","","","1990-08-31T00:00:00Z","","2199339"
"","[environmental medicine and public health service]."," ","","","","1990-07-08T00:00:00Z","","2143280"
"","Development of innovative therapies in the large multispecialty clinic setting."," ","","","","1992-09-20T00:00:00Z","","1518325"
"","[The internist and general practitioner in ambulatory care--similarities and limits]."," ","","","","1989-12-01T00:00:00Z","","2629365"
"","The need for black specialists in preventive medicine."," ","","","","1990-11-18T00:00:00Z","","2076300"
"","The troubled profession: is medicine's glass half full or half empty?"," ","","","","1992-04-01T00:00:00Z","","1543314"
"","[Social research as applied to health]."," ","","","","1975-01-17T00:00:00Z","","1212963"
"","Health and traditional medicine cultures in Latin America and the Caribbean."," ","","","","1985-04-04T00:00:00Z","","2412298"
"","[Opening medicine containers]."," ","","","","1990-07-09T00:00:00Z","","2142351"
"","A mini-workshop to train medical students to use a patient-centered approach to smoking cessation."," ","","","","1990-05-26T00:00:00Z","","2340189"
"","Inpatient resource use: a comparison of family medicine and internal medicine physicians."," ","","","","1992-03-14T00:00:00Z","","1541957"
"","The Japanese Association for Acute Medicine (JAAM)."," ","","","","1985-07-15T00:00:00Z","","4005012"
"","Relation of the internal medicine residency and the medical school curriculum."," ","","","","1992-06-15T00:00:00Z","","1586117"
"","Development of a central division of general internal medicine."," ","","","","1989-07-22T00:00:00Z","","2742693"
"","The academic viability of general internal medicine. The views of department of medicine chairmen."," ","","","","1985-09-15T00:00:00Z","","4026087"
"","A 'firm' system for graduate training in general internal medicine."," ","","","","1979-07-08T00:00:00Z","","448712"
"","Public and private hypotheses."," ","","","","1989-01-08T00:00:00Z","","2913190"
"","Hermeneutics in science and medicine: a thesis understated."," ","","","","1990-06-01T00:00:00Z","","2392784"
"","[Veterinary medicine faculties in German universities for 75 years]."," ","","","","1989-11-01T00:00:00Z","","2686618"
"","National Study of Internal Medicine Manpower: XVII. Changes in the characteristics of internal medic"," ","","","","1990-08-01T00:00:00Z","","2375556"
"","[The severely injured patient in the emergency center--new diagnostic, therapeutic and organizationa"," ","","","","1992-09-01T00:00:00Z","","1493322"
"","Developing primary care curricula in preventive medicine: some practical considerations."," ","","","","","","1482581"
"","[Ethical problems in laboratory research in medicine]."," ","","","","1992-02-21T00:00:00Z","","1581927"
"","[Criticism of the physician in the middle ages--examples and trends from the 6th to the 12th century"," ","","","","1991-03-01T00:00:00Z","","1855667"
"","[Work environment and health in the maritime occupations]."," ","","","","1991-09-25T00:00:00Z","","1945808"
"","[Methodological procedures in the evaluation of health within the scope of fitness assessment by the"," ","","","","1991-04-13T00:00:00Z","","1830948"
"","Competencies required for the practice of geriatric medicine as a consultant physician."," ","","","","1989-11-15T00:00:00Z","","2804826"
"","[History of medicine and pastoral medicine]."," ","","","","1991-09-30T00:00:00Z","","1949803"
"","A survey of students' attitudes toward medical school and factors motivating them to become physicia"," ","","","","1991-09-09T00:00:00Z","","1948001"
"","Graduate training in community medicine at Mount Sinai: the development of the Master of Science in "," ","","","","1990-11-10T00:00:00Z","","2079954"
"","[The distribution effects of the Danish 800 crown rule. Preliminary results of the DIKE study. Choic"," ","","","","1991-05-13T00:00:00Z","","2028548"
"","Teaching behavioral medicine in a primary care setting. An integrated approach."," ","","","","1989-01-15T00:00:00Z","","2912821"
"","[The trend to natural cure procedures--the psychosocial background]."," ","","","","1991-12-15T00:00:00Z","","1778529"
"","Can we really teach psychosomatic medicine? A review of successes and failures."," ","","","","1991-06-15T00:00:00Z","","1891574"
"","Medical oncology in journals of internal medicine."," ","","","","1976-11-30T00:00:00Z","","984635"
"","Strategies for integrating clinical preventive medicine into family medicine clerkships."," ","","","","1990-09-20T00:00:00Z","","2384202"
"","Traditional and evolving concepts in medical ethics."," ","","","","1989-02-05T00:00:00Z","","2493547"
"","Society of Apothecaries diploma in sports medicine."," ","","","","1992-09-10T00:00:00Z","","1422654"
"","The general practitioner in Lebanon: is he a potential family physician?"," ","","","","1992-12-15T00:00:00Z","","1490536"
"","Utilization of hospital services. A comparison of internal medicine and family practice."," ","","","","1989-01-08T00:00:00Z","","2913182"
"","[Homeopathy as an independent and alternative form of therapy]."," ","","","","1991-06-30T00:00:00Z","","1949825"
"","The odyssey and outlook of graduate medical education."," ","","","","1989-06-05T00:00:00Z","","2666362"
"","Paediatric nuclear medicine."," ","","","","1991-05-26T00:00:00Z","","2019281"
"","[J.M. Charcot's (1825-1893) method]."," ","","","","1989-11-01T00:00:00Z","","2682736"
"","[The teaching of the integral or medico-social aspects of health: history and present situation]."," ","","","","1978-05-05T00:00:00Z","","348446"
"","Clinical approaches to teaching legal medicine to physicians: medicolegal emergencies and consultati"," ","","","","1976-10-28T00:00:00Z","","973626"
"","Psychiatric training for emergency medicine residents on a multidisciplinary team."," ","","","","","","1018396"
"","The general practitioner and the hospital. An experiment in in-patient care."," ","","","","1975-03-15T00:00:00Z","","1126633"
"","Religion and medicine: interfaces that matter."," ","","","","1991-01-01T00:00:00Z","","1998165"
"","[Collective responsibility of the veterinarian (author's transl)]."," ","","","","1979-01-01T00:00:00Z","","419510"
"","Clinical rheumatology training of primary care physicians: the resident perspective."," ","","","","1990-05-01T00:00:00Z","","2359078"
"","Veterinary education with career emphasis: a partnership with private, public, and corporate veterin"," ","","","","1992-02-01T00:00:00Z","","1548164"
"","Student performance in internal medicine: the effect of previous clerkship experience."," ","","","","1979-12-20T00:00:00Z","","513096"
"","[Effects of family medicine education on medical students' attitudes]."," ","","","","1991-07-07T00:00:00Z","","1875456"
"","Use of alternative medicine by patients attending a gastroenterology clinic."," ","","","","1990-01-15T00:00:00Z","","2295028"
"","Geriatric medicine: whose specialty?"," ","","","","1979-11-01T00:00:00Z","","496117"
"","[Theory and model in psychosomatic medicine--a historical sketch]."," ","","","","1991-02-01T00:00:00Z","","2024407"
"","A bird's eye view of occupational medicine."," ","","","","1979-12-12T00:00:00Z","","522191"
"","Survey of curriculum and instruction: oral medicine."," ","","","","1977-03-15T00:00:00Z","","264479"
"","Three approaches to problem solving in medicine and some problems they create."," ","","","","1979-09-19T00:00:00Z","","479777"
"","Behavioral medicine in the family medicine residency."," ","","","","1989-05-15T00:00:00Z","","2662718"
"","[A show window for the public. The newly organized medical historical museum of the Zurich universit"," ","","","","1991-03-01T00:00:00Z","","1855670"
"","[Bibliographic and documentary activities in the fields of occupational medicine and toxicology]."," ","","","","1992-11-14T00:00:00Z","","1435248"
"","Why medical ethics?"," ","","","","1990-06-11T00:00:00Z","","2356164"
"","Travel medicine and travel clinics."," ","","","","1991-06-22T00:00:00Z","","1869815"
"","Similarities between various systems of traditional medicine. Considerations for the future of ethno"," ","","","","1991-12-14T00:00:00Z","","1809825"
"","[The anesthesiologist's role in the French emergency medical system]."," ","","","","","","2273552"
"","The influence of governmental decision-making on academic medicine: the Quebec experience."," ","","","","1990-08-01T00:00:00Z","","2208838"
"","Physicians, historians, and the history of medicine."," ","","","","1992-06-07T00:00:00Z","","1528160"
"","Community medicine in the training of family physicians."," ","","","","1979-05-10T00:00:00Z","","438756"
"","Physician performance and patient perceptions during the rectal examination."," ","","","","1991-11-15T00:00:00Z","","1765866"
"","[Karl Frederik Wenkebach (1864-1940) and the establishment of the Institute for the History of Medic"," ","","","","1990-05-25T00:00:00Z","","2195781"
"","The integration of traditional medicine into the Nigerian health care delivery system: legal implica"," ","","","","1990-05-26T00:00:00Z","","2118211"
"","[Alternative medicine: faith or science?]."," ","","","","1990-04-21T00:00:00Z","","2339286"
"","The development of forensic medicine in the United Kingdom from the 18th century."," ","","","","1992-06-01T00:00:00Z","","1510061"
"","Principles of intercultural medicine in an internal medicine program."," ","","","","1991-10-30T00:00:00Z","","1928235"
"","An undergraduate program in family medicine in a setting that lacked a clinical base in that discipl"," ","","","","1975-09-13T00:00:00Z","","1160398"
"","[Medical knowledge]."," ","","","","1989-06-26T00:00:00Z","","2749042"
"","Descriptive analysis of residency-trained emergency medicine physicians."," ","","","","1991-06-01T00:00:00Z","","1940244"
"","[Trends in the specialty of internal medicine: specialization and/or integration]."," ","","","","1989-12-01T00:00:00Z","","2698003"
"","[From occupational medicine to workers' health]."," ","","","","1991-10-04T00:00:00Z","","1820622"
"","Residency education in the nursing home: a national survey of internal medicine and family practice "," ","","","","1992-04-04T00:00:00Z","","1548548"
"","Do we still need primary care tracks?"," ","","","","1992-06-15T00:00:00Z","","1586118"
"","Promoting traditional medicine in Ethiopia: a brief historical review of government policy."," ","","","","1991-06-06T00:00:00Z","","1887282"
"","Emergency medicine core content."," ","","","","1979-01-15T00:00:00Z","","533966"
"","Nuclear medicine applications for the diabetic foot."," ","","","","1987-04-01T00:00:00Z","","2952246"
"","Community medicine in the British National Health Service."," ","","","","1978-01-01T00:00:00Z","","623362"
"","Toward clarification of objectives for family practice and family medicine."," ","","","","1975-04-01T00:00:00Z","","1127390"
"","Voices from family medicine: Donald Ransom. Interview by William B. Ventres and John J. Frey."," ","","","","1992-03-27T00:00:00Z","","1577217"
"","An ethics curriculum for teaching emergency medicine residents."," ","","","","1990-02-01T00:00:00Z","","2301798"
"","Factors associated with career longevity in residency-trained emergency physicians."," ","","","","1992-03-01T00:00:00Z","","1536490"
"","Preventing the decline of academic medicine."," ","","","","1992-11-20T00:00:00Z","","1418249"
"","Severity, satisfaction and symptom resolution in patients of emergency medicine residents."," ","","","","1978-05-30T00:00:00Z","","651072"
"","Training in critical care medicine: a personal perspective."," ","","","","1990-09-21T00:00:00Z","","2402653"
"","Training and certifying the internist for primary care."," ","","","","1975-05-22T00:00:00Z","","1137266"
"","[Forty years of psychosomatic medicine. A historical retrospect (author's transl)]."," ","","","","1977-06-10T00:00:00Z","","407461"
"","Family medicine residents in rehabilitation medicine."," ","","","","1979-09-01T00:00:00Z","","496608"
"","[Karl Dammann--remembrance of an important veterinarian]."," ","","","","1990-03-20T00:00:00Z","","2185011"
"","The problem of defensive medicine."," ","","","","1978-05-26T00:00:00Z","","644329"
"","[Medical and ethical problems posed by the prenatal diagnosis of distal absence of a limb]."," ","","","","1992-08-01T00:00:00Z","","1401758"
"","[The Institute of Experimental Medicine: the past, present and future]."," ","","","","1990-08-31T00:00:00Z","","2284843"
"","[125 years of the general public hospital of the City of Linz--medical highlights]."," ","","","","1990-03-15T00:00:00Z","","2189271"
"","[Community medicine at the faculty of medicine at Tromsø]."," ","","","","1976-01-08T00:00:00Z","","1246515"
"","Clinical trials in asthma and chronic airflow obstruction."," ","","","","1990-09-14T00:00:00Z","","2239544"
"","[Physical therapy and Oriental medicine applied to rheumatoid arthritis]."," ","","","","1992-03-10T00:00:00Z","","1588749"
"","An in-training assessment examination in family medicine: report of a pilot project."," ","","","","1977-12-10T00:00:00Z","","591890"
"","A program of management training for residents."," ","","","","1989-01-12T00:00:00Z","","2914065"
"","[Ethics committees: medical treatment counseling or prescribing?]."," ","","","","1991-09-23T00:00:00Z","","1771913"
"","Trends in evolution of specialty choice. Comparison of US medical school graduates in 1983 and 1987."," ","","","","1989-04-28T00:00:00Z","","2619786"
"","Augmenting the critical care data base of junior medical students with an emergency medicine lecture"," ","","","","1990-06-06T00:00:00Z","","2362127"
"","History of the renal section, New York University School of Medicine 1926-1986, New York University "," ","","","","1989-10-06T00:00:00Z","","2686789"
"","The occupational medicine consultant."," ","","","","1991-02-08T00:00:00Z","","1992683"
"","[Reflections on the professional and organizational development of internal medicine]."," ","","","","1990-10-30T00:00:00Z","","2256058"
"","The discursive formation of the body in the history of medicine."," ","","","","1990-10-20T00:00:00Z","","2277242"
"","[Occupational hygiene of railway transport workers as a specific branch of occupational medicine]."," ","","","","1992-12-28T00:00:00Z","","1305536"
"","A unique academic approach to critical care-emergency medicine training."," ","","","","1976-12-31T00:00:00Z","","1018374"
"","Objectives to direct the training of emergency medicine residents on off-service rotations: dermatol"," ","","","","1990-07-01T00:00:00Z","","2212580"
"","Who's using nonprescribed medicines?"," ","","","","1976-12-15T00:00:00Z","","1004035"
"","Voices from family medicine: Ian McWhinney. Interview by John J. Frey and William B. Ventres."," ","","","","1992-02-20T00:00:00Z","","1601245"
"","Filling the void of well-trained occupational medicine physicians: a challenge for the 1990s."," ","","","","1990-02-01T00:00:00Z","","2303921"
"","Gender differences in initiation of psychotherapeutic medicine use."," ","","","","1990-01-01T00:00:00Z","","2330826"
"","Towards rational medicine use: is there a role for children?"," ","","","","1990-08-07T00:00:00Z","","2255963"
"","Family medicine and primary care: trends and student characteristics."," ","","","","1977-02-04T00:00:00Z","","833844"
"","[First national seminar on the teaching of preventive medicine in the medical academic programs in P"," ","","","","1975-08-01T00:00:00Z","","1149685"
"","Evaluating a seminar designed to improve psychiatry skills of family medicine residents."," ","","","","1990-10-01T00:00:00Z","","2261048"
"","[Chances and risks of predictive medicine]."," ","","","","1992-10-21T00:00:00Z","","1477597"
"","Career aspirations of geriatric medicine trainees."," ","","","","1985-01-15T00:00:00Z","","4003179"
"","A new undergraduate teaching course in geriatric medicine."," ","","","","1979-09-29T00:00:00Z","","522689"
"","Alternative medicine: methinks the doctor protests too much and incidentally befuddles the debate."," ","","","","1992-03-17T00:00:00Z","","1573645"
"","Doctors' understanding of the specialty of Public Health Medicine: a survey of general practitioners"," ","","","","1992-12-01T00:00:00Z","","1489567"
"","[70 years' of the Otorhinolaryngology Clinic at the Medical School of Zagreb in Salata]."," ","","","","1991-12-29T00:00:00Z","","1669634"
"","Challenges for nuclear medicine in the 1990s."," ","","","","1992-02-25T00:00:00Z","","1436900"
"","[120 years of the Medical Society of Santiago]."," ","","","","1989-09-28T00:00:00Z","","2519469"
"","Traditional medicine and an inclusive model of health seeking behaviour in Zimbabwe."," ","","","","1991-11-01T00:00:00Z","","1666860"
"","Performance of candidates on the geriatric medicine items of the American Board of Internal Medicine"," ","","","","1985-11-01T00:00:00Z","","4056274"
"","Family medicine: behavioral science contributions."," ","","","","1977-11-01T00:00:00Z","","925644"
"","Some structural changes that might facilitate the development of behavioral medicine."," ","","","","1992-08-22T00:00:00Z","","1506498"
"","[An exercise in endodontic evaluation]."," ","","","","1989-06-28T00:00:00Z","","2639501"
"","A description of a pharmacotherapy curriculum in a university-based family medicine program."," ","","","","1992-06-01T00:00:00Z","","1504414"
"","The frontier of modern Western medicine in Nepal."," ","","","","1985-02-06T00:00:00Z","","4023752"
"","Psychiatric education in aerospace medicine."," ","","","","1979-06-11T00:00:00Z","","475713"
"","Effectiveness of faculty development workshops in family medicine."," ","","","","1979-09-19T00:00:00Z","","479776"
"","Regaining the preventive medicine edge: training for 2000 and beyond."," ","","","","1991-07-01T00:00:00Z","","1931148"
"","[Psychotherapeutic function of the South American medicine man]."," ","","","","1976-10-30T00:00:00Z","","1024011"
"","Influence of uncertainty about a specialty's administrative status on students' specialty choices at"," ","","","","1991-05-01T00:00:00Z","","2025365"
"","[Plinius and Greek physicians in Rome: the concept of nature and medical critique in Naturalis Histo"," ","","","","1991-11-01T00:00:00Z","","1839588"
"","Image formats: five years after the AAPM standard for digital image interchange."," ","","","","1989-09-02T00:00:00Z","","2640552"
"","[The position of processing in traditional Chinese medicine]."," ","","","","1989-04-01T00:00:00Z","","2505798"
"","[Multiple serial examinations by means of rapid tests in Brandenburg 1974]."," ","","","","1975-07-15T00:00:00Z","","1210453"
"","Traditional Chinese materia medica--a retrospect and prospect."," ","","","","1991-10-02T00:00:00Z","","1841981"
"","LSU Medical Center initiates family medicine clerkship program for third year medical students."," ","","","","1992-03-01T00:00:00Z","","1506761"
"","[Early diagnostic imaging of rheumatoid arthritis (RA) (author's transl)]."," ","","","","1979-04-25T00:00:00Z","","375283"
"","[Challenges to medicine at the end of the 20th century]."," ","","","","1990-12-17T00:00:00Z","","2275206"
"","[The present state and perspectives of postgraduate education of physicians in internal medicine]."," ","","","","1989-12-15T00:00:00Z","","2633452"
"","A strategy to define the role of the primary care physician in occupational and environmental medici"," ","","","","1989-08-15T00:00:00Z","","2760703"
